Nro.,Cargo,Sexo,Edad,Facultad,Mejores características,Importancia,Beneficios,EUCALIPTO,SAUCE COMÚN ,TUYA,PALMA DATILERA,GUARARO,LUMA,MORERA,CEIBO,CEDRO ,AGUACATE ,ARABISCO ,GUABA,NÍSPERO ,PALMA ORNAMENTAL ,GUAYACÁN ,HIBISCUS ,SICOMORO,ARAUCARIA,HIGUERA,TILO,GUATO,POMARROSA,ARRAYÁN,PUMAMAQUI ,CEDRO COLORADO , CALISTEMO O CEPILLO ROJO,SWARTZIA,ROMERILLO,DURAZNO,ACACIA BLANCA, TECOMA,MAGNOLIA,SAUCE PIRAMIDAL,GUALLAG O GUAYALO,FRESNO,PINO,COCO NEGRO, SANGUILAMO,LEUCAENA,SECOYA,CIPRÉ,ARUPO ,CAPULÍ ,NOGAL,FICUS RETUSA,NANUME,CIPRÉ,CASUARINA,ALISO,CIPRÉ,PROSOPIS,FAIQUE,PALMA FÉNIX,SOLANUM,CHIRIMOYA,TORONCHE
119,Docente,Hombre,47,"Facultad Jurídica, Social y Administrativa","Forma de la copa, Hojas, Frutos",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Producen oxígeno",5,5,3,3,3,4,3,5,4,4,4,3,5,4,4,4,3,5,5,4,4,4,4,4,5,4,4,4,4,3,4,3,4,3,4,3,4,3,3,4,5,4,4,5,4,3,4,4,4,4,4,5,5,4,5,5
120,Estudiante,Hombre,24,"Facultad de la Educación, el Arte y la Comunicación",Forma de la copa,5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Producen oxígeno",4,5,3,3,4,4,5,3,4,4,4,4,5,4,4,4,5,5,5,4,3,4,4,5,5,4,4,4,4,4,4,5,5,4,4,3,4,5,4,3,4,5,4,4,5,4,3,4,3,4,3,4,4,3,4,4
121,Estudiante,Mujer,23,Educación a Distancia,"Forma de la copa, Flores, Tronco",5,"Dan sombra y regulan la temperatura, Producen oxígeno, Reducen la erosión",2,5,2,5,1,5,2,1,5,5,4,5,5,5,5,5,3,5,5,4,3,2,5,3,4,5,5,5,5,3,5,5,3,5,2,0,5,3,2,4,4,5,4,3,4,1,2,1,4,3,4,5,5,3,5,3
122,Estudiante,Mujer,23,Facultad Agropecuaria y de Recursos Naturales Renovables,"Hojas, Flores, Tronco",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Refugio de vida silvestre",5,0,1,1,5,0,5,0,5,0,5,2,5,1,5,5,5,5,0,2,4,2,5,3,5,1,5,5,5,5,5,5,5,5,4,5,4,4,1,3,5,5,5,4,5,4,3,5,5,5,0,0,4,5,2,0
123,Docente,Mujer,37,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Flores, Tronco",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Almacenan carbono",3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,4,3,5,5,5,5,5,3,3,5,3,5,5,5,5,5,5
124,Docente,Mujer,42,Facultad de la Salud Humana,"Hojas, Flores",5,"Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura, Producen oxígeno",3,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,2,5,5,2,5,5,2,5,5,5,2,5,2,2,2,2,5,5,2,5,5,5,5,5,5,2,1,3,3,2,5,5,5,3,5,5
125,Estudiante,Hombre,22,"Facultad de la Educación, el Arte y la Comunicación","Hojas, Flores, Tronco",5,"Dan sombra y regulan la temperatura, Producen oxígeno, Refugio de vida silvestre",5,4,5,5,5,4,5,4,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4,4,4,4,4,5,5,4,3,5,4,4,4,4,4,3,5,5,5,5,4,4,4,4,5,5
126,Estudiante,Mujer,27,Posgrado (Maestrías),"Flores, Frutos, Corteza",4,"Embellecen el lugar, Proporcionan paz y tranquilidad, Refugio de vida silvestre",1,1,1,5,1,1,1,4,2,1,1,2,5,5,3,1,1,1,2,4,1,5,1,1,1,2,1,5,1,1,1,5,1,1,1,1,5,1,1,4,1,1,1,3,1,1,1,1,1,1,1,1,5,1,1,2
127,Estudiante,Hombre,18,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Hojas, Tronco",5,"Embellecen el lugar, Colectan las partículas del aire contaminado, Producen oxígeno",4,4,3,4,3,3,4,4,5,3,3,3,4,4,5,3,3,4,3,3,3,3,4,4,5,5,4,4,4,3,4,4,4,4,3,4,3,3,3,3,4,5,4,4,4,3,4,3,3,4,3,3,4,4,3,4
128,Docente,Hombre,38,Facultad Agropecuaria y de Recursos Naturales Renovables,Forma de la copa,5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Refugio de vida silvestre",3,4,4,3,4,5,5,4,4,3,5,3,5,4,4,3,3,5,3,3,3,3,5,5,4,3,3,5,3,4,4,5,3,3,5,5,4,4,4,5,4,5,4,5,3,3,3,5,5,5,4,4,4,0,3,0
129,Estudiante,Hombre,22,Educación a Distancia,"Forma de la copa, Flores, Frutos",4,"Embellecen el lugar, Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5
130,Estudiante,Mujer,30,"Facultad Jurídica, Social y Administrativa","Forma de la copa, Hojas, Flores",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Reducen la erosión",5,4,4,3,3,5,2,3,4,4,4,2,2,5,5,3,4,5,4,3,3,3,5,2,5,2,3,5,3,3,4,5,5,3,4,5,3,4,4,4,5,5,4,5,5,4,5,4,4,4,1,2,5,2,4,3
131,Administrativo,Mujer,44,Administración Central,"Hojas, Flores, Frutos",4,"Embellecen el lugar, Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura",3,4,3,4,3,3,4,3,4,5,3,5,4,4,5,3,2,5,4,3,2,4,2,2,3,4,3,3,5,3,3,5,3,4,4,3,4,1,1,4,5,2,2,3,2,2,2,2,4,3,3,4,4,2,5,5
132,Docente,Hombre,43,Facultad Agropecuaria y de Recursos Naturales Renovables,Forma de la copa,5,"Almacenan carbono, Colectan las partículas del aire contaminado, Producen oxígeno",0,5,4,3,4,4,3,5,5,3,5,4,4,4,5,4,3,3,5,5,5,4,4,4,5,3,3,5,3,3,3,4,5,4,4,2,3,4,4,2,2,3,3,4,4,4,2,3,5,2,3,5,4,4,4,5
133,Docente,Mujer,44,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Flores",5,"Embellecen el lugar, Almacenan carbono, Refugio de vida silvestre",1,0,1,3,4,4,4,4,4,4,5,3,3,3,5,3,3,2,4,3,3,4,5,5,4,5,1,5,4,2,5,5,2,5,2,0,4,4,3,2,2,5,3,5,3,2,0,0,4,0,3,3,3,3,4,4
134,Estudiante,Hombre,23,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Hojas, Flores",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Almacenan carbono",3,4,3,2,3,4,2,5,5,4,5,4,4,2,5,2,3,5,5,3,3,5,5,3,5,2,5,5,5,5,4,3,3,3,3,2,5,3,3,5,4,5,4,5,5,5,2,2,3,2,5,5,3,2,5,4
135,Estudiante,Mujer,21,Facultad Agropecuaria y de Recursos Naturales Renovables,"Hojas, Flores",5,"Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura, Refugio de vida silvestre",4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,4,5,5,3,3,3,4,5,3,2,5,5,3,5,5
136,Estudiante,Mujer,24,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Flores, Frutos",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura",3,3,0,4,5,5,5,5,4,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,4,5,4,5,5,3,5,5,3,4,4,0,5,4,5,3,0,5,5,5,4,3,0,4,3,0,5,4,5,5,5,4
137,Estudiante,Hombre,18,Educación a Distancia,"Forma de la copa, Hojas, Frutos",4,"Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura, Producen oxígeno",4,3,3,3,2,3,3,3,4,5,2,5,4,3,5,3,2,2,2,3,3,1,3,3,3,2,3,3,5,2,2,3,3,3,4,2,3,3,2,3,3,4,4,2,2,2,2,3,4,2,2,3,3,4,5,4
138,Docente,Mujer,36,"Facultad de la Energía, las Industrias y los Recursos Naturales no Renovables","Hojas, Flores, Frutos",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Producen oxígeno",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,3,5,5,3,4,5,4,5,5,4,4,5,5,5,5,5,4,3,5,5,5,4,4,3,5,4,3,4,5,5,5,5,5
139,Docente,Mujer,37,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Flores, Corteza",5,"Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura, Colectan las partículas del aire contaminado",1,4,3,3,5,4,4,5,4,4,5,5,5,4,5,4,3,4,4,3,4,5,5,5,4,4,3,5,4,4,5,5,3,4,3,3,4,4,4,4,4,5,5,5,4,4,3,3,3,3,3,4,4,2,4,2
140,Estudiante,Mujer,35,"Facultad Jurídica, Social y Administrativa","Hojas, Flores, Tronco",5,"Proporcionan paz y tranquilidad, Producen oxígeno, Refugio de vida silvestre",3,3,3,3,5,5,3,3,5,5,4,3,4,5,4,4,4,5,4,3,3,4,4,3,5,5,4,3,5,3,4,5,5,5,5,5,3,3,4,5,5,3,3,4,5,4,5,5,3,3,3,5,3,3,4,3
141,Estudiante,Mujer,28,Educación a Distancia,"Hojas, Flores, Tronco",5,"Dan sombra y regulan la temperatura, Producen oxígeno, Refugio de vida silvestre",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
142,Administrativo,Hombre,52,Administración Central,"Forma de la copa, Hojas, Flores",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Refugio de vida silvestre",3,3,3,3,3,4,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
143,Estudiante,Mujer,18,Educación a Distancia,Forma de la copa,5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura",5,4,3,5,4,4,4,3,5,5,5,5,4,5,5,5,4,5,4,4,3,4,4,4,5,4,4,3,5,3,4,5,4,3,4,5,5,4,2,5,5,4,5,5,5,2,3,3,3,4,4,4,5,3,5,4
144,Estudiante,Hombre,21,"Facultad Jurídica, Social y Administrativa","Forma de la copa, Flores, Frutos",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura",5,3,5,1,3,5,5,5,5,5,5,5,5,4,5,3,3,5,3,5,5,5,5,0,5,3,1,5,5,5,5,5,2,5,5,5,1,5,1,5,5,5,5,5,3,1,1,5,5,2,2,2,4,3,5,3
145,Estudiante,Hombre,31,Educación a Distancia,Hojas,5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
146,Estudiante,Mujer,48,Educación a Distancia,"Hojas, Flores, Frutos",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Producen oxígeno",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
147,Docente,Hombre,53,"Facultad Jurídica, Social y Administrativa",Frutos,5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura",1,0,3,1,3,5,3,4,5,5,5,5,5,2,5,1,1,5,4,5,5,5,5,3,5,0,3,5,5,4,5,5,0,5,5,5,4,5,5,4,4,5,5,5,5,3,2,1,4,4,1,1,3,1,5,2
148,Docente,Mujer,35,"Facultad Jurídica, Social y Administrativa","Forma de la copa, Flores, Frutos",5,"Dan sombra y regulan la temperatura, Colectan las partículas del aire contaminado, Producen oxígeno",5,4,3,5,4,5,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,3,5,5
149,Administrativo,Hombre,60,"Facultad de la Educación, el Arte y la Comunicación","Hojas, Flores, Frutos",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Refugio de vida silvestre",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5
150,Estudiante,Mujer,18,"Facultad Jurídica, Social y Administrativa","Forma de la copa, Flores, Raíces",5,"Producen oxígeno, Reducen la erosión, Refugio de vida silvestre",4,5,3,3,3,4,4,3,4,4,4,4,4,5,4,4,3,5,4,5,3,5,5,4,4,5,4,3,5,4,4,5,4,4,4,4,3,4,3,5,4,4,4,4,4,3,3,4,3,3,4,4,4,2,4,3
151,Estudiante,Mujer,23,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Flores, Frutos",5,"Dan sombra y regulan la temperatura, Almacenan carbono, Producen oxígeno",2,4,2,4,4,5,4,5,4,5,5,5,4,4,5,4,4,3,4,4,5,4,4,4,4,5,4,5,5,3,5,5,3,5,3,3,5,3,4,3,3,5,5,5,3,4,3,2,3,3,2,5,4,2,4,5
152,Estudiante,Mujer,21,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Flores, Tronco",5,"Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura, Producen oxígeno",5,4,3,3,4,3,5,4,5,4,5,4,4,4,4,4,4,3,3,4,4,4,4,4,5,5,4,5,4,4,5,5,3,4,5,5,3,3,4,5,5,5,3,4,3,3,5,4,2,3,4,3,4,3,4,3
153,Administrativo,Hombre,28,Administración Central,"Forma de la copa, Hojas, Tronco",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura",4,5,4,4,2,3,5,3,5,3,2,3,5,2,5,5,5,5,1,5,5,2,5,5,5,1,5,5,2,3,5,5,5,3,2,5,2,4,5,5,5,5,5,5,4,4,2,2,2,3,3,5,5,1,2,1
154,Estudiante,Mujer,26,"Facultad de la Educación, el Arte y la Comunicación",Tronco,5,"Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura, Refugio de vida silvestre",3,4,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,5,4,5,5,5,5,4,4,4,4,5,4,4,5,4,5,5,4,4,4
155,Docente,Mujer,48,Educación a Distancia,"Forma de la copa, Hojas, Flores",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Refugio de vida silvestre",5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5
156,Estudiante,Mujer,23,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Flores, Tronco",5,"Dan sombra y regulan la temperatura, Reducen la erosión, Refugio de vida silvestre",5,4,5,4,3,4,3,4,5,4,4,4,4,5,4,2,3,5,5,3,4,4,4,4,5,3,3,5,4,3,3,3,4,4,4,5,5,4,3,5,5,4,4,5,3,2,5,4,4,4,3,4,5,3,4,3
157,Administrativo,Mujer,51,"Facultad de la Educación, el Arte y la Comunicación","Forma de la copa, Flores, Tronco",5,"Embellecen el lugar, Colectan las partículas del aire contaminado, Producen oxígeno",5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
158,Administrativo,Hombre,27,Posgrado (Maestrías),"Hojas, Flores, Frutos",5,"Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura, Producen oxígeno",5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,0
159,Estudiante,Mujer,20,"Facultad Jurídica, Social y Administrativa","Flores, Raíces, Tronco",3,"Proporcionan paz y tranquilidad, Colectan las partículas del aire contaminado",5,4,4,4,4,4,4,4,5,4,3,4,5,5,4,3,3,4,4,4,4,4,4,4,5,4,4,4,5,5,4,5,4,4,4,4,5,3,3,4,4,5,4,4,4,4,4,4,5,4,4,5,5,4,4,4
160,Estudiante,Hombre,42,"Facultad Jurídica, Social y Administrativa","Forma de la copa, Flores, Frutos",5,"Dan sombra y regulan la temperatura, Almacenan carbono, Refugio de vida silvestre",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
161,Docente,Mujer,40,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Flores, Frutos",5,"Embellecen el lugar, Colectan las partículas del aire contaminado, Refugio de vida silvestre",2,5,4,5,4,4,4,5,4,2,5,5,5,5,4,5,5,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,5,4,4,4,4,2,5,2,1,5,4,5,4,4,4
162,Estudiante,Mujer,18,"Facultad Jurídica, Social y Administrativa",Forma de la copa,5,"Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura, Refugio de vida silvestre",4,5,0,0,1,2,3,1,5,4,1,1,1,1,4,1,2,5,4,5,5,5,5,5,5,5,3,2,5,5,3,2,0,5,3,2,0,5,0,0,5,2,3,5,5,1,0,5,4,5,1,5,3,2,4,0
163,Docente,Mujer,36,"Facultad de la Educación, el Arte y la Comunicación","Forma de la copa, Flores, Tronco",5,"Dan sombra y regulan la temperatura, Reducen la erosión, Refugio de vida silvestre",4,5,1,1,4,4,4,5,3,5,5,3,5,3,5,5,1,4,5,0,0,5,5,5,3,5,1,2,5,0,1,3,0,0,4,5,4,1,0,5,5,5,1,1,4,0,0,5,4,3,5,2,5,2,3,3
164,Estudiante,Mujer,21,"Facultad Jurídica, Social y Administrativa","Hojas, Flores, Tronco",5,"Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura, Producen oxígeno",4,3,2,3,4,4,3,4,3,4,3,2,3,2,5,3,4,2,4,3,4,4,4,2,3,2,2,2,3,2,3,5,2,3,3,2,3,2,1,2,3,4,3,2,3,2,3,2,4,3,3,4,3,3,3,4
165,Docente,Mujer,47,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Flores, Tronco",5,"Dan sombra y regulan la temperatura, Reducen la erosión, Refugio de vida silvestre",2,5,4,5,5,5,5,5,5,5,5,4,4,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,4,5,5,5,5,5,4,3,5,4,5,5,5,5,5,4
166,Estudiante,Hombre,20,Facultad de la Salud Humana,"Forma de la copa, Frutos, Tronco",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura",5,5,4,4,5,5,5,4,4,5,4,4,4,4,5,4,5,4,5,3,3,5,5,4,4,5,5,5,5,4,4,5,5,4,4,4,4,5,5,4,5,4,5,4,4,4,5,5,3,4,5,5,5,3,5,4
167,Administrativo,Mujer,49,Facultad Agropecuaria y de Recursos Naturales Renovables,"Hojas, Flores, Frutos",5,"Proporcionan paz y tranquilidad, Colectan las partículas del aire contaminado, Producen oxígeno",4,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,5,3,4,5,3,5,5,4,5,5,5
168,Estudiante,Mujer,24,Educación a Distancia,"Hojas, Flores, Frutos",5,"Embellecen el lugar, Producen oxígeno, Reducen la erosión",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
169,Estudiante,Hombre,23,"Facultad de la Educación, el Arte y la Comunicación","Forma de la copa, Hojas, Flores",5,"Proporcionan paz y tranquilidad, Colectan las partículas del aire contaminado, Refugio de vida silvestre",1,3,4,3,5,5,5,5,3,1,5,2,5,3,4,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,3,5,5,5,3,5,4,5,5,5,5,5,5,1,4,5,5,5,2,2,2
170,Estudiante,Mujer,33,Educación a Distancia,Forma de la copa,5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura",0,3,2,5,1,5,4,1,5,3,4,4,5,5,5,5,3,4,2,3,0,3,5,5,3,5,2,3,5,2,2,5,4,1,5,3,5,2,2,5,4,3,2,5,5,2,3,2,2,3,3,5,5,1,3,2
171,Docente,Hombre,35,"Facultad Jurídica, Social y Administrativa",Forma de la copa,5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura",3,5,4,3,5,5,5,5,5,5,5,5,5,4,3,5,5,5,4,5,4,5,5,5,5,5,5,4,5,4,3,4,2,3,4,4,5,4,5,5,4,5,5,5,5,4,3,4,2,4,5,1,5,5,5,5
172,Estudiante,Mujer,18,Educación a Distancia,Forma de la copa,5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura",5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,4,5,4,5,4,5,4,4,5,5,4,5,4,4,4,4,5,5,5,5,5,4,4,4,4,5,5,5,4,5,5,5,4
173,Estudiante,Hombre,20,"Facultad de la Educación, el Arte y la Comunicación",Raíces,5,"Colectan las partículas del aire contaminado, Producen oxígeno",5,5,2,3,5,5,5,5,5,5,5,5,5,3,5,5,5,2,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,4,5,5,3,1,5,2,4,3,2,3,5,5,3,5,5,4,5,5,5
174,Estudiante,Hombre,24,Facultad Agropecuaria y de Recursos Naturales Renovables,"Hojas, Flores, Tronco",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Almacenan carbono",4,3,5,5,4,4,3,5,5,4,5,4,5,5,5,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,5,4,4,5,5,5,4,5,4,4,5,4,4,5,4,4,5,3,4,4
175,Docente,Mujer,62,"Facultad de la Educación, el Arte y la Comunicación",Hojas,4,Producen oxígeno,5,4,3,1,3,5,4,4,5,5,5,4,4,1,5,4,3,3,3,4,4,4,4,3,5,4,5,5,5,5,4,4,5,5,5,3,1,5,5,3,3,5,4,5,5,2,4,4,3,3,4,3,1,4,5,5
176,Estudiante,Hombre,21,Educación a Distancia,"Hojas, Flores, Tronco",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5
177,Docente,Mujer,30,"Facultad de la Energía, las Industrias y los Recursos Naturales no Renovables","Forma de la copa, Hojas, Tronco",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Refugio de vida silvestre",3,5,2,3,4,4,5,5,5,5,5,5,5,3,5,3,5,4,4,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,1,3,5,5,5,3,5,5,5,5,4,3,2,5,4,5,4,5,3,5,4
178,Estudiante,Hombre,22,"Facultad de la Educación, el Arte y la Comunicación","Hojas, Frutos",4,"Embellecen el lugar, Proporcionan paz y tranquilidad, Refugio de vida silvestre",4,4,4,4,5,5,3,3,4,5,4,5,5,3,5,5,5,4,4,4,4,5,4,4,5,5,4,4,5,4,4,4,4,4,4,4,5,4,3,5,4,4,5,5,4,5,4,4,5,5,5,4,4,4,5,4
179,Estudiante,Hombre,20,"Facultad de la Educación, el Arte y la Comunicación",Hojas,5,"Proporcionan paz y tranquilidad, Almacenan carbono, Producen oxígeno",3,3,3,3,3,5,3,3,4,3,5,4,4,3,4,5,4,5,3,4,3,4,5,3,4,3,3,3,5,4,3,4,4,3,3,3,4,3,3,5,5,2,4,3,3,4,3,2,4,3,3,3,3,4,4,2
180,Docente,Hombre,46,"Facultad de la Energía, las Industrias y los Recursos Naturales no Renovables",Forma de la copa,5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura",2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
181,Docente,Hombre,46,"Facultad de la Educación, el Arte y la Comunicación","Forma de la copa, Hojas, Corteza",3,"Embellecen el lugar, Dan sombra y regulan la temperatura, Colectan las partículas del aire contaminado",2,4,5,4,3,5,2,4,2,3,3,3,2,5,2,3,4,4,5,2,2,2,2,4,4,2,2,4,2,2,2,3,3,2,2,4,4,3,2,3,5,3,4,3,2,3,5,2,4,4,2,3,4,2,2,4
182,Estudiante,Mujer,18,"Facultad Jurídica, Social y Administrativa","Forma de la copa, Flores, Frutos",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
183,Estudiante,Hombre,53,Educación a Distancia,Hojas,5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Producen oxígeno",3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
184,Docente,Hombre,33,"Facultad de la Energía, las Industrias y los Recursos Naturales no Renovables","Forma de la copa, Hojas, Corteza",5,"Dan sombra y regulan la temperatura, Producen oxígeno, Refugio de vida silvestre",3,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,3,3,4,3
185,Administrativo,Mujer,33,"Facultad de la Energía, las Industrias y los Recursos Naturales no Renovables","Forma de la copa, Hojas, Flores",5,"Embellecen el lugar, Producen oxígeno, Refugio de vida silvestre",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
