Nro.,Cargo,Sexo,Edad,Facultad,Mejores características,Importancia,Beneficios,EUCALIPTO,SAUCE COMÚN ,TUYA,PALMA DATILERA,GUARARO,LUMA,MORERA,CEIBO,CEDRO ,AGUACATE ,ARABISCO ,GUABA,NÍSPERO ,PALMA ORNAMENTAL ,GUAYACÁN ,HIBISCUS ,SICOMORO,ARAUCARIA,HIGUERA,TILO,GUATO,POMARROSA,ARRAYÁN,PUMAMAQUI ,CEDRO COLORADO , CALISTEMO O CEPILLO ROJO,SWARTZIA,ROMERILLO,DURAZNO,ACACIA BLANCA, TECOMA,MAGNOLIA,SAUCE PIRAMIDAL,GUALLAG O GUAYALO,FRESNO,PINO,COCO NEGRO, SANGUILAMO,LEUCAENA,SECOYA,CIPRÉ,ARUPO ,CAPULÍ ,NOGAL,FICUS RETUSA,NANUME,CIPRÉ,CASUARINA,ALISO,CIPRÉ,PROSOPIS,FAIQUE,PALMA FÉNIX,SOLANUM,CHIRIMOYA,TORONCHE
24,Administrativo,Mujer,33,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Flores, Tronco",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Producen oxígeno",5,3,4,1,4,5,4,5,4,4,5,4,5,5,5,5,4,5,3,3,3,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,3,3,2,3,5,5,3,3,3,3,3,4,4,3,4,4,5,3,4,3
25,Estudiante,Mujer,20,"Facultad Jurídica, Social y Administrativa","Hojas, Flores, Frutos",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Producen oxígeno",5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,3
26,Docente,Hombre,38,"Facultad de la Educación, el Arte y la Comunicación","Forma de la copa, Flores, Frutos",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Refugio de vida silvestre",0,4,1,2,4,3,4,3,5,5,4,3,4,2,5,3,3,1,3,3,4,5,5,2,3,5,2,4,3,2,4,2,2,3,3,2,3,4,3,5,4,4,3,5,1,3,2,2,2,3,3,4,3,2,5,0
27,Administrativo,Mujer,34,Posgrado (Maestrías),"Forma de la copa, Flores, Tronco",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Producen oxígeno",4,2,2,1,5,4,4,5,5,5,5,4,5,1,5,4,2,5,4,4,3,5,4,5,5,3,3,2,4,3,3,5,3,3,4,4,2,1,1,5,5,5,3,3,4,2,3,3,4,4,4,3,2,3,4,1
28,Estudiante,Hombre,40,Educación a Distancia,Flores,5,"Almacenan carbono, Colectan las partículas del aire contaminado, Producen oxígeno",5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,4
29,Estudiante,Mujer,19,"Facultad de la Educación, el Arte y la Comunicación","Forma de la copa, Hojas, Corteza",5,"Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura, Colectan las partículas del aire contaminado",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
30,Docente,Mujer,42,"Facultad de la Energía, las Industrias y los Recursos Naturales no Renovables","Hojas, Flores, Frutos",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Producen oxígeno",5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,5,5
31,Administrativo,Mujer,47,"Facultad Jurídica, Social y Administrativa","Hojas, Flores, Corteza",4,"Dan sombra y regulan la temperatura, Producen oxígeno, Refugio de vida silvestre",3,4,4,3,4,3,4,3,3,4,4,4,4,3,4,4,3,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,4,4,4,3,4,3,3,4,3,3,3,3,4,4
32,Estudiante,Hombre,21,"Facultad de la Educación, el Arte y la Comunicación","Flores, Frutos, Tronco",5,"Dan sombra y regulan la temperatura, Almacenan carbono, Producen oxígeno",5,5,5,4,5,3,5,5,5,5,4,5,5,4,3,5,5,5,2,0,3,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,4,5,4,3,3,4,4,5,5,3,5,4,2,5,5,5,4,4,5
33,Estudiante,Hombre,43,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Flores, Frutos",5,"Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura, Refugio de vida silvestre",5,5,4,4,5,5,5,5,5,5,5,4,5,3,5,4,4,4,5,5,5,5,5,5,5,5,4,5,4,4,5,5,4,4,5,5,5,4,5,5,4,5,5,5,4,4,5,3,5,5,4,4,4,4,5,5
